Protein,log2FC,pvalue,padj
RBM47,0.165911295076981,0.455912936208781,0.682987700728205
ACO2,0.105444772663855,0.500705971275561,0.7087236921186438
TAPBP,0.123912849741867,0.74666456248035,0.8713228457171726
FAM83G,-0.255672022503305,0.224525434427606,0.46487615337850186
HS2ST1,-0.20713444133041,0.711139163560542,0.8520911217955868
PGP,0.248422770145556,0.0217325737443271,0.18891769477223913
ABI1,-0.632544685581248,0.30627084386978,0.5435906600620702
HN1L,0.620443031372361,0.0370332854299879,0.22122085922054446
YIF1A,0.731255703993408,0.287539551988173,0.5283247052790822
CCDC85C,0.044275083227614,0.812726634595767,0.909288214943779
BICD1,-0.156573887091142,0.0028486444077187,0.1013848620823541
MATR3,-0.242628116782313,0.137719184492001,0.37200640273138114
MIF4GD,1.16651820358213,0.0464287661938282,0.23488481636174705
EWSR1,-0.694176084749703,0.220384605503723,0.464761314250464
MCM5,-0.244994605366649,0.241230150044369,0.4817497547277826
XRCC6,0.0406661837342703,0.838780310514084,0.9207869231989653
CAPZB,-0.2399192917546,0.396626082095778,0.6297716244986825
OSBPL9,0.128782784298934,0.279324780696309,0.5230211764543421
ARHGEF7,-1.24341108146227,0.231857867968203,0.4713810634361604
SEPT6,1.09005001879584,0.0089129716926575,0.13919312019996294
USP30,-0.10800902106017,0.298444305848177,0.5360138791127523
SNRPN,0.604951570421363,0.0019150218725214,0.08376248047018287
LARS,-0.112206050036107,0.691458264814016,0.8424235463502296
PSMA1,0.140141356331622,0.512024953177348,0.7128396678731868
RPS6KA3,0.0954332391978703,0.632397441317359,0.8029315827961974
HNRNPH3,-0.0025982615915651,0.991207028532702,0.9978297926431655
TAB2,0.119643020908349,0.806844069691847,0.9049693976367812
LUC7L3,-0.242826916371524,0.509785913817631,0.7121691663101919
SNRPD3,-0.2190986641072,0.392409042924117,0.626007837888356
VDAC2,0.113106278209173,0.154574398327224,0.3919196484017803
ATP5C1,-0.114479251657251,0.763659763628518,0.8789588674256342
MAT2A,0.227466474828137,0.461849886960678,0.6864870611537808
RBMS1,0.609281946797488,0.14232561792209,0.3747513097997793
SRSF2,0.389268963779745,0.0612626701126755,0.2661365167866136
STRAP,-0.138471985746801,0.216150865706726,0.4580324733061112
ALG1,-0.139024176036095,0.654166917809431,0.8137338148229051
BCKDHA,-0.0276864192371136,0.88956121719275,0.9413993046439694
EIF2A,-0.302074970844544,0.181155688302024,0.4213501086407282
