date,total_cases,daily_cases,total_deaths,daily_deaths,people_vaccinated,,,,,,,,
6/3/2020,1,0,1,1,0,,,,,,,,
7/3/2020,9,8,1,0,0,,,,,,,,
8/3/2020,9,0,1,0,0,,,,,,,,
9/3/2020,11,2,1,0,0,,,,,,,,
10/3/2020,13,2,2,1,0,,,,,,,,
11/3/2020,15,2,2,0,0,,,,,,,,
12/3/2020,17,2,2,0,0,,,,,,,,
13/3/2020,26,9,2,0,0,,,,,,,,
14/3/2020,32,6,3,1,0,,,,,,,,
15/3/2020,47,15,3,0,0,,,,,,,,
16/3/2020,75,28,3,0,0,,,,,,,,
17/3/2020,90,15,5,2,0,,,,,,,,
18/3/2020,121,31,5,0,0,,,,,,,,
19/3/2020,234,113,9,4,0,,,,,,,,
20/3/2020,234,0,15,6,0,,,,,,,,
21/3/2020,318,84,20,5,0,,,,,,,,
22/3/2020,318,0,26,6,0,,,,,,,,
23/3/2020,318,0,30,4,0,,,,,,,,
24/3/2020,395,77,34,4,0,,,,,,,,
25/3/2020,416,21,39,5,0,,,,,,,,
26/3/2020,480,64,45,6,0,,,,,,,,
27/3/2020,580,100,57,12,0,,,,,,,,
28/3/2020,580,0,63,6,0,,,,,,,,
29/3/2020,635,55,71,8,0,,,,,,,,
30/3/2020,671,36,86,15,0,,,,,,,,
31/3/2020,852,181,95,9,0,,,,,,,,
1/4/2020,1065,213,113,18,0,,,,,,,,
2/4/2020,1323,258,138,25,0,,,,,,,,
3/4/2020,1323,0,161,23,0,,,,,,,,
4/4/2020,1414,91,183,22,0,,,,,,,,
5/4/2020,1595,181,209,26,0,,,,,,,,
6/4/2020,1746,151,258,49,0,,,,,,,,
7/4/2020,2281,535,317,59,0,,,,,,,,
8/4/2020,2561,280,360,43,0,,,,,,,,
9/4/2020,2954,393,423,63,0,,,,,,,,
10/4/2020,4342,1388,471,48,0,,,,,,,,
11/4/2020,5256,914,569,98,0,,,,,,,,
12/4/2020,5897,641,650,81,0,,,,,,,,
13/4/2020,6848,951,753,103,0,,,,,,,,
14/4/2020,7519,671,846,93,0,,,,,,,,
15/4/2020,7519,0,952,106,0,,,,,,,,
16/4/2020,10303,2784,1061,109,0,,,,,,,,
17/4/2020,11475,1172,1200,139,0,,,,,,,,
18/4/2020,13489,2014,1333,133,0,,,,,,,,
19/4/2020,13489,0,1490,157,0,,,,,,,,
20/4/2020,14420,931,1628,138,0,,,,,,,,
21/4/2020,15628,1208,1786,158,0,,,,,,,,
22/4/2020,16325,697,1990,204,0,,,,,,,,
23/4/2020,17837,1512,2199,209,0,,,,,,,,
24/4/2020,19250,1413,2418,219,0,,,,,,,,
25/4/2020,20914,1664,2664,246,0,,,,,,,,
26/4/2020,21648,734,2910,246,0,,,,,,,,
27/4/2020,25331,3683,3198,288,0,,,,,,,,
28/4/2020,27517,2186,3488,290,0,,,,,,,,
29/4/2020,28699,1182,3793,305,0,,,,,,,,
30/4/2020,31190,2491,4106,313,0,,,,,,,,
1/5/2020,33931,2741,4450,344,0,,,,,,,,
2/5/2020,36976,3045,4782,332,0,,,,,,,,
3/5/2020,40459,3483,5181,399,0,,,,,,,,
4/5/2020,42534,2075,5589,408,0,,,,,,,,
5/5/2020,45928,3394,6004,415,0,,,,,,,,
6/5/2020,47372,1444,6442,438,0,,,,,,,,
7/5/2020,51189,3817,6871,429,0,,,,,,,,
8/5/2020,54817,3628,7328,457,0,,,,,,,,
9/5/2020,58526,3709,7809,481,0,,,,,,,,
10/5/2020,61847,3321,8263,454,0,,,,,,,,
11/5/2020,65015,3168,8740,477,0,,,,,,,,
12/5/2020,67307,2292,9258,518,0,,,,,,,,
13/5/2020,68822,1515,9778,520,0,,,,,,,,
14/5/2020,72059,3237,10294,516,0,,,,,,,,
15/5/2020,76306,4247,10760,466,0,,,,,,,,
16/5/2020,80604,4298,11277,517,0,,,,,,,,
17/5/2020,84495,3891,11824,547,0,,,,,,,,
18/5/2020,88541,4046,12333,509,0,,,,,,,,
19/5/2020,92273,3732,12835,502,0,,,,,,,,
20/5/2020,94933,2660,13369,534,0,,,,,,,,
21/5/2020,99483,4550,13984,615,0,,,,,,,,
22/5/2020,104020,4537,14512,528,0,,,,,,,,
23/5/2020,108769,4749,15056,544,0,,,,,,,,
24/5/2020,111698,2929,15583,527,0,,,,,,,,
25/5/2020,115754,4056,16101,518,0,,,,,,,,
26/5/2020,119959,4205,16644,543,0,,,,,,,,
27/5/2020,123979,4020,17216,572,0,,,,,,,,
28/5/2020,129751,5772,17796,580,0,,,,,,,,
29/5/2020,135905,6154,18340,544,0,,,,,,,,
30/5/2020,141779,5874,18929,589,0,,,,,,,,
31/5/2020,148285,6506,19483,554,0,,,,,,,,
